timeframe,cluster2017,NumOccupiedHsgUnits,NumOccupiedHsgUnits_m,cluster2017_nf,start_date,end_date,PctSameHouse5YearsAgo,PctVacantHsgUnitsForRent,PctOwnerOccupiedHsgUnits,PctVacantHUForRent_m,PctOwnerOccupiedHU_m,mprice_sf,sales_sf,MedianMrtgInc1_4m_adj,NumMrtgOrigHomePurchPerUnit,PctSubprimeConvOrigHomePur,forecl_ssl_1Kpcl_sf_condo,forecl_ssl_sf_condo,trustee_ssl_1Kpcl_sf_condo,trustee_ssl_sf_condo,PctAnnChgRMPriceSf_1yr,PctAnnChgRMPriceSf_5yr,PctAnnChgRMPriceSf_10yr,indc
2008,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",X,.,Cluster 31,1-Jan-08,31-Dec-08,X,X,X,X,X,260000,42,76968,103,0.3,55,165,22,67,.,.,.,1
2009,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",X,.,Cluster 31,1-Jan-09,31-Dec-09,X,X,X,X,X,220000,31,76968,103,0.3,63,189,20,59,.,.,.,1
2010,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",X,.,Cluster 31,1-Jan-10,31-Dec-10,X,X,X,X,X,207650,48,76968,103,0.3,48,146,22,67,.,.,.,1
2011,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",X,.,Cluster 31,1-Jan-11,31-Dec-11,X,X,X,X,X,200000,66,76968,103,0.3,1,3,6.3,19,.,.,.,1
2012,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",X,.,Cluster 31,1-Jan-12,31-Dec-12,X,X,X,X,X,200000,67,76968,103,0.3,0.3,1,1,3,.,.,.,1
2013,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",X,.,Cluster 31,1-Jan-13,31-Dec-13,X,X,X,X,X,210000,75,76968,103,0.3,1.6,5,2,6,.,.,.,1
2014,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",X,.,Cluster 31,1-Jan-14,31-Dec-14,X,X,X,X,X,240000,71,76968,103,0.3,1.6,5,2,6,.,.,.,1
2015,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",X,.,Cluster 31,1-Jan-15,31-Dec-15,X,X,X,X,X,275000,78,76968,103,0.3,1.6,5,2,6,.,.,.,1
2016,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",X,.,Cluster 31,1-Jan-16,31-Dec-16,X,X,X,X,X,281000,107,76968,103,0.3,1.6,5,2,6,.,.,.,1
1995,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-95,31-Dec-95,X,X,X,X,X,85000,52,45589,14,0,11,22,2.5,5,.,.,.,1
1996,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-96,31-Dec-96,X,X,X,X,X,85000,61,46359,14,0.3,13,25,5,10,.,.,.,1
1997,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-97,31-Dec-97,X,X,X,X,X,85900,50,40425,25,0.3,22,44,6.5,13,.,.,.,1
1998,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-98,31-Dec-98,X,X,X,X,X,80499,62,46394,29,0.3,17,33,6,12,.,.,.,1
1999,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-99,31-Dec-99,X,X,X,X,X,80500,74,51844,27,0.1,22,43,11,21,.,.,.,1
2000,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-00,31-Dec-00,X,X,X,X,X,89000,55,55260,25,0.1,24,47,6.5,13,.,.,.,1
2001,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-01,31-Dec-01,X,X,X,X,X,115000,62,52781,29,0.1,14,28,5,10,.,.,.,1
2002,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-02,31-Dec-02,X,X,X,X,X,125500,68,51947,70,0.1,26,51,6.5,13,.,.,.,1
2003,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-03,31-Dec-03,X,X,X,X,X,129000,51,66396,65,0.2,16,32,1,2,.,.,.,1
2004,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-04,31-Dec-04,X,X,X,X,X,157500,75,67076,47,0.2,18,38,0.9,2,.,.,.,1
2005,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-05,31-Dec-05,X,X,X,X,X,200000,73,67076,47,0.2,15,32,2.3,5,.,.,.,1
2006,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-06,31-Dec-06,X,X,X,X,X,250000,56,67076,47,0.2,13,28,0.9,2,.,.,.,1
2007,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-07,31-Dec-07,X,X,X,X,X,257500,52,67076,47,0.2,18,41,2.3,5,.,.,.,1
2008,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-08,31-Dec-08,X,X,X,X,X,229000,23,67076,47,0.2,34,75,9,20,.,.,.,1
2009,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-09,31-Dec-09,X,X,X,X,X,220000,19,67076,47,0.2,45,99,13,28,.,.,.,1
2010,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-10,31-Dec-10,X,X,X,X,X,193000,18,67076,47,0.2,33,74,12,27,.,.,.,1
