start_date,end_date,cluster2017,timeframe,cluster2017_nf,Crimes_pt1_property_per1000,Crimes_pt1_violent_per1000,indc
1-Jan-06,31-Dec-06,"West End, Foggy Bottom, GWU",2006,Cluster 5,29,1.9,1
1-Jan-07,31-Dec-07,"West End, Foggy Bottom, GWU",2007,Cluster 5,28,2.1,1
1-Jan-08,31-Dec-08,"West End, Foggy Bottom, GWU",2008,Cluster 5,31,3.3,1
1-Jan-09,31-Dec-09,"West End, Foggy Bottom, GWU",2009,Cluster 5,25,3.9,1
1-Jan-10,31-Dec-10,"West End, Foggy Bottom, GWU",2010,Cluster 5,23,3,1
1-Jan-11,31-Dec-11,"West End, Foggy Bottom, GWU",2011,Cluster 5,29,3.2,1
1-Jan-12,31-Dec-12,"West End, Foggy Bottom, GWU",2012,Cluster 5,27,2.9,1
1-Jan-13,31-Dec-13,"West End, Foggy Bottom, GWU",2013,Cluster 5,27,1.7,1
1-Jan-14,31-Dec-14,"West End, Foggy Bottom, GWU",2014,Cluster 5,32,2.1,1
1-Jan-15,31-Dec-15,"West End, Foggy Bottom, GWU",2015,Cluster 5,35,2.6,1
1-Jan-16,31-Dec-16,"West End, Foggy Bottom, GWU",2016,Cluster 5,30,3,1
1-Jan-00,31-Dec-00,"Dupont Circle, Connecticut Avenue/K Street",2000,Cluster 6,154,16,1
1-Jan-01,31-Dec-01,"Dupont Circle, Connecticut Avenue/K Street",2001,Cluster 6,131,15,1
1-Jan-02,31-Dec-02,"Dupont Circle, Connecticut Avenue/K Street",2002,Cluster 6,127,16,1
1-Jan-03,31-Dec-03,"Dupont Circle, Connecticut Avenue/K Street",2003,Cluster 6,114,16,1
1-Jan-04,31-Dec-04,"Dupont Circle, Connecticut Avenue/K Street",2004,Cluster 6,91,15,1
1-Jan-05,31-Dec-05,"Dupont Circle, Connecticut Avenue/K Street",2005,Cluster 6,92,12,1
1-Jan-06,31-Dec-06,"Dupont Circle, Connecticut Avenue/K Street",2006,Cluster 6,85,13,1
1-Jan-07,31-Dec-07,"Dupont Circle, Connecticut Avenue/K Street",2007,Cluster 6,86,13,1
1-Jan-08,31-Dec-08,"Dupont Circle, Connecticut Avenue/K Street",2008,Cluster 6,96,13,1
1-Jan-09,31-Dec-09,"Dupont Circle, Connecticut Avenue/K Street",2009,Cluster 6,96,11,1
1-Jan-10,31-Dec-10,"Dupont Circle, Connecticut Avenue/K Street",2010,Cluster 6,82,12,1
1-Jan-11,31-Dec-11,"Dupont Circle, Connecticut Avenue/K Street",2011,Cluster 6,91,14,1
1-Jan-12,31-Dec-12,"Dupont Circle, Connecticut Avenue/K Street",2012,Cluster 6,98,11,1
1-Jan-13,31-Dec-13,"Dupont Circle, Connecticut Avenue/K Street",2013,Cluster 6,85,8.9,1
1-Jan-14,31-Dec-14,"Dupont Circle, Connecticut Avenue/K Street",2014,Cluster 6,92,6.8,1
1-Jan-15,31-Dec-15,"Dupont Circle, Connecticut Avenue/K Street",2015,Cluster 6,95,7.4,1
1-Jan-16,31-Dec-16,"Dupont Circle, Connecticut Avenue/K Street",2016,Cluster 6,97,7.2,1
1-Jan-00,31-Dec-00,"Shaw, Logan Circle",2000,Cluster 7,51,16,1
1-Jan-01,31-Dec-01,"Shaw, Logan Circle",2001,Cluster 7,55,22,1
1-Jan-02,31-Dec-02,"Shaw, Logan Circle",2002,Cluster 7,65,16,1
1-Jan-03,31-Dec-03,"Shaw, Logan Circle",2003,Cluster 7,54,15,1
1-Jan-04,31-Dec-04,"Shaw, Logan Circle",2004,Cluster 7,58,14,1
1-Jan-05,31-Dec-05,"Shaw, Logan Circle",2005,Cluster 7,47,15,1
1-Jan-06,31-Dec-06,"Shaw, Logan Circle",2006,Cluster 7,54,15,1
1-Jan-07,31-Dec-07,"Shaw, Logan Circle",2007,Cluster 7,49,15,1
1-Jan-08,31-Dec-08,"Shaw, Logan Circle",2008,Cluster 7,52,11,1
1-Jan-09,31-Dec-09,"Shaw, Logan Circle",2009,Cluster 7,49,12,1
1-Jan-10,31-Dec-10,"Shaw, Logan Circle",2010,Cluster 7,39,11,1
1-Jan-11,31-Dec-11,"Shaw, Logan Circle",2011,Cluster 7,45,11,1
1-Jan-12,31-Dec-12,"Shaw, Logan Circle",2012,Cluster 7,56,8.4,1
1-Jan-13,31-Dec-13,"Shaw, Logan Circle",2013,Cluster 7,50,8.5,1
1-Jan-14,31-Dec-14,"Shaw, Logan Circle",2014,Cluster 7,59,7.2,1
1-Jan-15,31-Dec-15,"Shaw, Logan Circle",2015,Cluster 7,56,7.8,1
1-Jan-16,31-Dec-16,"Shaw, Logan Circle",2016,Cluster 7,68,6.8,1
1-Jan-00,31-Dec-00,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2000,Cluster 8,245,43,1
1-Jan-01,31-Dec-01,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2001,Cluster 8,214,41,1
1-Jan-02,31-Dec-02,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2002,Cluster 8,179,35,1
1-Jan-03,31-Dec-03,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2003,Cluster 8,138,35,1
1-Jan-04,31-Dec-04,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2004,Cluster 8,111,24,1
1-Jan-05,31-Dec-05,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2005,Cluster 8,105,23,1
1-Jan-06,31-Dec-06,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2006,Cluster 8,109,24,1
1-Jan-07,31-Dec-07,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2007,Cluster 8,113,23,1
1-Jan-08,31-Dec-08,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2008,Cluster 8,111,21,1
1-Jan-09,31-Dec-09,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2009,Cluster 8,102,18,1
1-Jan-10,31-Dec-10,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2010,Cluster 8,81,18,1
1-Jan-11,31-Dec-11,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2011,Cluster 8,95,20,1
1-Jan-12,31-Dec-12,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2012,Cluster 8,117,18,1
1-Jan-13,31-Dec-13,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2013,Cluster 8,111,16,1
1-Jan-14,31-Dec-14,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2014,Cluster 8,141,14,1
1-Jan-15,31-Dec-15,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2015,Cluster 8,127,16,1
1-Jan-16,31-Dec-16,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2016,Cluster 8,155,15,1
1-Jan-00,31-Dec-00,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2000,Cluster 9,67,17,1
1-Jan-01,31-Dec-01,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2001,Cluster 9,69,15,1
1-Jan-02,31-Dec-02,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2002,Cluster 9,56,14,1
1-Jan-03,31-Dec-03,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2003,Cluster 9,48,15,1
1-Jan-04,31-Dec-04,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2004,Cluster 9,43,13,1
1-Jan-05,31-Dec-05,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2005,Cluster 9,47,13,1
1-Jan-06,31-Dec-06,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2006,Cluster 9,51,16,1
1-Jan-07,31-Dec-07,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2007,Cluster 9,44,17,1
1-Jan-08,31-Dec-08,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2008,Cluster 9,38,13,1
1-Jan-09,31-Dec-09,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2009,Cluster 9,35,10,1
1-Jan-10,31-Dec-10,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2010,Cluster 9,34,9.6,1
1-Jan-11,31-Dec-11,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2011,Cluster 9,37,11,1
1-Jan-12,31-Dec-12,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2012,Cluster 9,42,8.3,1
1-Jan-13,31-Dec-13,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2013,Cluster 9,44,8.6,1
1-Jan-14,31-Dec-14,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2014,Cluster 9,42,6.8,1
1-Jan-15,31-Dec-15,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2015,Cluster 9,43,8.1,1
1-Jan-16,31-Dec-16,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2016,Cluster 9,47,8.5,1
1-Jan-00,31-Dec-00,"Hawthorne, Barnaby Woods, Chevy Chase",2000,Cluster 10,19,1.3,1
1-Jan-01,31-Dec-01,"Hawthorne, Barnaby Woods, Chevy Chase",2001,Cluster 10,19,2.6,1
1-Jan-02,31-Dec-02,"Hawthorne, Barnaby Woods, Chevy Chase",2002,Cluster 10,18,2.1,1
1-Jan-03,31-Dec-03,"Hawthorne, Barnaby Woods, Chevy Chase",2003,Cluster 10,22,1.8,1
1-Jan-04,31-Dec-04,"Hawthorne, Barnaby Woods, Chevy Chase",2004,Cluster 10,17,1.8,1
1-Jan-05,31-Dec-05,"Hawthorne, Barnaby Woods, Chevy Chase",2005,Cluster 10,16,0.8,1
1-Jan-06,31-Dec-06,"Hawthorne, Barnaby Woods, Chevy Chase",2006,Cluster 10,13,1,1
1-Jan-07,31-Dec-07,"Hawthorne, Barnaby Woods, Chevy Chase",2007,Cluster 10,14,1,1
1-Jan-08,31-Dec-08,"Hawthorne, Barnaby Woods, Chevy Chase",2008,Cluster 10,15,1,1
1-Jan-09,31-Dec-09,"Hawthorne, Barnaby Woods, Chevy Chase",2009,Cluster 10,21,0.9,1
1-Jan-10,31-Dec-10,"Hawthorne, Barnaby Woods, Chevy Chase",2010,Cluster 10,17,0.8,1
1-Jan-11,31-Dec-11,"Hawthorne, Barnaby Woods, Chevy Chase",2011,Cluster 10,17,1.3,1
1-Jan-12,31-Dec-12,"Hawthorne, Barnaby Woods, Chevy Chase",2012,Cluster 10,18,0.9,1
1-Jan-13,31-Dec-13,"Hawthorne, Barnaby Woods, Chevy Chase",2013,Cluster 10,25,0.6,1
1-Jan-14,31-Dec-14,"Hawthorne, Barnaby Woods, Chevy Chase",2014,Cluster 10,21,1.3,1
1-Jan-15,31-Dec-15,"Hawthorne, Barnaby Woods, Chevy Chase",2015,Cluster 10,16,1,1
1-Jan-16,31-Dec-16,"Hawthorne, Barnaby Woods, Chevy Chase",2016,Cluster 10,18,1.3,1
1-Jan-00,31-Dec-00,"Friendship Heights, American University Park, Tenleytown",2000,Cluster 11,59,6.3,1
1-Jan-01,31-Dec-01,"Friendship Heights, American University Park, Tenleytown",2001,Cluster 11,52,6.3,1
1-Jan-02,31-Dec-02,"Friendship Heights, American University Park, Tenleytown",2002,Cluster 11,52,5.4,1
1-Jan-03,31-Dec-03,"Friendship Heights, American University Park, Tenleytown",2003,Cluster 11,53,4.6,1
1-Jan-04,31-Dec-04,"Friendship Heights, American University Park, Tenleytown",2004,Cluster 11,51,4,1
1-Jan-05,31-Dec-05,"Friendship Heights, American University Park, Tenleytown",2005,Cluster 11,42,4,1
1-Jan-06,31-Dec-06,"Friendship Heights, American University Park, Tenleytown",2006,Cluster 11,34,4.1,1
1-Jan-07,31-Dec-07,"Friendship Heights, American University Park, Tenleytown",2007,Cluster 11,46,4.3,1
1-Jan-08,31-Dec-08,"Friendship Heights, American University Park, Tenleytown",2008,Cluster 11,53,3.6,1
1-Jan-09,31-Dec-09,"Friendship Heights, American University Park, Tenleytown",2009,Cluster 11,52,3.9,1
1-Jan-10,31-Dec-10,"Friendship Heights, American University Park, Tenleytown",2010,Cluster 11,44,4.3,1
1-Jan-11,31-Dec-11,"Friendship Heights, American University Park, Tenleytown",2011,Cluster 11,43,3.4,1
1-Jan-12,31-Dec-12,"Friendship Heights, American University Park, Tenleytown",2012,Cluster 11,46,2.6,1
1-Jan-13,31-Dec-13,"Friendship Heights, American University Park, Tenleytown",2013,Cluster 11,59,1.9,1
1-Jan-14,31-Dec-14,"Friendship Heights, American University Park, Tenleytown",2014,Cluster 11,53,2.7,1
1-Jan-15,31-Dec-15,"Friendship Heights, American University Park, Tenleytown",2015,Cluster 11,52,2.4,1
1-Jan-16,31-Dec-16,"Friendship Heights, American University Park, Tenleytown",2016,Cluster 11,41,2.6,1
1-Jan-00,31-Dec-00,"North Cleveland Park, Forest Hills, Van Ness",2000,Cluster 12,28,1.8,1
1-Jan-01,31-Dec-01,"North Cleveland Park, Forest Hills, Van Ness",2001,Cluster 12,25,2.5,1
1-Jan-02,31-Dec-02,"North Cleveland Park, Forest Hills, Van Ness",2002,Cluster 12,22,2.2,1
1-Jan-03,31-Dec-03,"North Cleveland Park, Forest Hills, Van Ness",2003,Cluster 12,22,1.2,1
1-Jan-04,31-Dec-04,"North Cleveland Park, Forest Hills, Van Ness",2004,Cluster 12,24,1,1
1-Jan-05,31-Dec-05,"North Cleveland Park, Forest Hills, Van Ness",2005,Cluster 12,19,1.5,1
1-Jan-06,31-Dec-06,"North Cleveland Park, Forest Hills, Van Ness",2006,Cluster 12,17,1.4,1
1-Jan-07,31-Dec-07,"North Cleveland Park, Forest Hills, Van Ness",2007,Cluster 12,19,1.3,1
1-Jan-08,31-Dec-08,"North Cleveland Park, Forest Hills, Van Ness",2008,Cluster 12,22,1,1
1-Jan-09,31-Dec-09,"North Cleveland Park, Forest Hills, Van Ness",2009,Cluster 12,18,1.2,1
1-Jan-10,31-Dec-10,"North Cleveland Park, Forest Hills, Van Ness",2010,Cluster 12,16,1.1,1
1-Jan-11,31-Dec-11,"North Cleveland Park, Forest Hills, Van Ness",2011,Cluster 12,20,0.6,1
1-Jan-12,31-Dec-12,"North Cleveland Park, Forest Hills, Van Ness",2012,Cluster 12,15,0.6,1
1-Jan-13,31-Dec-13,"North Cleveland Park, Forest Hills, Van Ness",2013,Cluster 12,18,1.1,1
1-Jan-14,31-Dec-14,"North Cleveland Park, Forest Hills, Van Ness",2014,Cluster 12,19,0.9,1
1-Jan-15,31-Dec-15,"North Cleveland Park, Forest Hills, Van Ness",2015,Cluster 12,20,0.9,1
1-Jan-16,31-Dec-16,"North Cleveland Park, Forest Hills, Van Ness",2016,Cluster 12,13,0.8,1
1-Jan-00,31-Dec-00,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2000,Cluster 13,22,0.9,1
1-Jan-01,31-Dec-01,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2001,Cluster 13,17,1.3,1
1-Jan-02,31-Dec-02,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2002,Cluster 13,16,1,1
1-Jan-03,31-Dec-03,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2003,Cluster 13,19,0.6,1
1-Jan-04,31-Dec-04,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2004,Cluster 13,12,0.5,1
1-Jan-05,31-Dec-05,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2005,Cluster 13,12,0.5,1
1-Jan-06,31-Dec-06,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2006,Cluster 13,11,0.9,1
1-Jan-07,31-Dec-07,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2007,Cluster 13,12,0.6,1
1-Jan-08,31-Dec-08,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2008,Cluster 13,12,0.4,1
1-Jan-09,31-Dec-09,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2009,Cluster 13,14,0.7,1
1-Jan-10,31-Dec-10,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2010,Cluster 13,16,0.6,1
1-Jan-11,31-Dec-11,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2011,Cluster 13,13,0.5,1
1-Jan-12,31-Dec-12,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2012,Cluster 13,11,0.6,1
1-Jan-13,31-Dec-13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2013,Cluster 13,15,0.3,1
1-Jan-14,31-Dec-14,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2014,Cluster 13,11,0.2,1
1-Jan-15,31-Dec-15,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2015,Cluster 13,10,0.6,1
1-Jan-16,31-Dec-16,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2016,Cluster 13,12,0.8,1
