timeframe,cluster2017,cluster2017_nf,start_date,end_date,PctPoorPersons,PctPoorChildren,PctPoorElderly,AvgFamilyIncAdj,PctPoorPersons_m,PctPoorChildren_m,PctPoorElderly_m,AvgFamilyIncAdj_m,PctChgAvgFamilyIncAdj,Tanf_client,Fs_client
1990,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Cluster 34,1-Jan-90,31-Dec-90,11,16,15,84465,.,.,.,.,X,X,X
1990,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Cluster 35,1-Jan-90,31-Dec-90,11,16,12,89512,.,.,.,.,X,X,X
1990,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,1-Jan-90,31-Dec-90,35,48,28,45856,.,.,.,.,X,X,X
1990,"Sheridan, Barry Farm, Buena Vista",Cluster 37,1-Jan-90,31-Dec-90,34,49,19,46064,.,.,.,.,X,X,X
1990,"Douglas, Shipley Terrace",Cluster 38,1-Jan-90,31-Dec-90,34,45,39,45840,.,.,.,.,X,X,X
1990,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,1-Jan-90,31-Dec-90,27,39,19,52203,.,.,.,.,X,X,X
1990,Walter Reed,Cluster 40,1-Jan-90,31-Dec-90,0,i,i,180116,.,.,.,.,X,X,X
1990,Rock Creek Park,Cluster 41,1-Jan-90,31-Dec-90,6.3,4.2,7.7,175954,.,.,.,.,X,X,X
1990,Saint Elizabeths,Cluster 43,1-Jan-90,31-Dec-90,37,54,62,37171,.,.,.,.,X,X,X
1990,Joint Base Anacostia-Bolling,Cluster 44,1-Jan-90,31-Dec-90,10,13,6.6,70336,.,.,.,.,X,X,X
1990,"Arboretum, Anacostia River",Cluster 46,1-Jan-90,31-Dec-90,i,i,i,.,.,.,.,.,X,X,X
2012-16,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,25,X,X
2012-16,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,46,X,X
2012-16,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,147,X,X
2012-16,"Georgetown, Burleith/Hillandale",Cluster 4,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,0.6,X,X
2012-16,"West End, Foggy Bottom, GWU",Cluster 5,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,-24,X,X
2012-16,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,11,X,X
2012-16,"Shaw, Logan Circle",Cluster 7,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,90,X,X
2012-16,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,102,X,X
2012-16,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,65,X,X
2012-16,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,20,X,X
2012-16,"Friendship Heights, American University Park, Tenleytown",Cluster 11,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,-7,X,X
2012-16,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,-3.5,X,X
