timeframe,cluster2017,cluster2017_nf,start_date,end_date,PctUnemployed,Pct16andOverEmployed,PctUnemployed_m,Pct16andOverEmployed_m,indc
2000,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,1-Jan-00,31-Dec-00,8.9,53,.,.,1
2000,"Georgetown, Burleith/Hillandale",Cluster 4,1-Jan-00,31-Dec-00,2.1,65,.,.,1
2000,"West End, Foggy Bottom, GWU",Cluster 5,1-Jan-00,31-Dec-00,27,50,.,.,1
2000,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,1-Jan-00,31-Dec-00,2.8,81,.,.,1
2000,"Shaw, Logan Circle",Cluster 7,1-Jan-00,31-Dec-00,8.6,63,.,.,1
2000,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,1-Jan-00,31-Dec-00,16,50,.,.,1
2000,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,1-Jan-00,31-Dec-00,9.3,58,.,.,1
2000,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,1-Jan-00,31-Dec-00,2.3,61,.,.,1
2000,"Friendship Heights, American University Park, Tenleytown",Cluster 11,1-Jan-00,31-Dec-00,2.2,73,.,.,1
2000,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1-Jan-00,31-Dec-00,1.5,75,.,.,1
2000,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1-Jan-00,31-Dec-00,34,50,.,.,1
2000,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,1-Jan-00,31-Dec-00,5.7,67,.,.,1
2000,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1-Jan-00,31-Dec-00,1.8,72,.,.,1
2000,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,1-Jan-00,31-Dec-00,3.9,63,.,.,1
2000,"Takoma, Brightwood, Manor Park",Cluster 17,1-Jan-00,31-Dec-00,7.1,58,.,.,1
2000,"Brightwood Park, Crestwood, Petworth",Cluster 18,1-Jan-00,31-Dec-00,7.8,54,.,.,1
2000,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,1-Jan-00,31-Dec-00,16,50,.,.,1
2000,"North Michigan Park, Michigan Park, University Heights",Cluster 20,1-Jan-00,31-Dec-00,14,50,.,.,1
2000,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Cluster 21,1-Jan-00,31-Dec-00,14,49,.,.,1
2000,"Brookland, Brentwood, Langdon",Cluster 22,1-Jan-00,31-Dec-00,12,48,.,.,1
2000,"Ivy City, Arboretum, Trinidad, Carver Langston",Cluster 23,1-Jan-00,31-Dec-00,18,43,.,.,1
2000,"Woodridge, Fort Lincoln, Gateway",Cluster 24,1-Jan-00,31-Dec-00,11,44,.,.,1
2000,"Union Station, Stanton Park, Kingman Park",Cluster 25,1-Jan-00,31-Dec-00,11,58,.,.,1
2000,"Capitol Hill, Lincoln Park",Cluster 26,1-Jan-00,31-Dec-00,5.5,64,.,.,1
2000,"Near Southeast, Navy Yard",Cluster 27,1-Jan-00,31-Dec-00,33,24,.,.,1
2000,Historic Anacostia,Cluster 28,1-Jan-00,31-Dec-00,22,45,.,.,1
2000,"Eastland Gardens, Kenilworth",Cluster 29,1-Jan-00,31-Dec-00,21,44,.,.,1
2000,"Mayfair, Hillbrook, Mahaning Heights",Cluster 30,1-Jan-00,31-Dec-00,14,46,.,.,1
2000,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Cluster 31,1-Jan-00,31-Dec-00,16,38,.,.,1
2000,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,1-Jan-00,31-Dec-00,13,47,.,.,1
2000,"Capitol View, Marshall Heights, Benning Heights",Cluster 33,1-Jan-00,31-Dec-00,18,43,.,.,1
2000,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Cluster 34,1-Jan-00,31-Dec-00,12,52,.,.,1
2000,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Cluster 35,1-Jan-00,31-Dec-00,8.4,57,.,.,1
2000,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,1-Jan-00,31-Dec-00,22,41,.,.,1
2000,"Sheridan, Barry Farm, Buena Vista",Cluster 37,1-Jan-00,31-Dec-00,26,39,.,.,1
2000,"Douglas, Shipley Terrace",Cluster 38,1-Jan-00,31-Dec-00,26,38,.,.,1
2000,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,1-Jan-00,31-Dec-00,20,45,.,.,1
2000,Walter Reed,Cluster 40,1-Jan-00,31-Dec-00,0,92,.,.,1
2000,Rock Creek Park,Cluster 41,1-Jan-00,31-Dec-00,6.1,59,.,.,1
2000,Saint Elizabeths,Cluster 43,1-Jan-00,31-Dec-00,56,19,.,.,1
2000,Joint Base Anacostia-Bolling,Cluster 44,1-Jan-00,31-Dec-00,20,68,.,.,1
2000,"Arboretum, Anacostia River",Cluster 46,1-Jan-00,31-Dec-00,i,i,.,.,1
1990,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-90,31-Dec-90,3.6,78,.,.,1
