timeframe,cluster2017,TotPop,TotPop_m,cluster2017_nf,start_date,end_date,PctPopUnder18Years,PctPop65andOverYears,PctForeignBorn,PctBlackNonHispBridge,PctWhiteNonHispBridge,PctHisp,PctAsianPINonHispBridge,PctFamiliesOwnChildrenFH,PctPopUnder18Years_m,PctPop65andOverYears_m,PctForeignBorn_m,PctBlackNonHispBridge_m,PctWhiteNonHispBridge_m,PctHisp_m,PctAPINonHispBridge_m,PctFamiliesOwnChildFH_m,PctChgTotPop,PctChgPopUnder18Years,PctChgPop65andOverYear,indc
2000,"Eastland Gardens, Kenilworth",2161,.,Cluster 29,1-Jan-00,31-Dec-00,39,11,1.3,97,0.4,0.9,1.2,61,.,.,.,.,.,.,.,.,X,X,X,1
2000,"Mayfair, Hillbrook, Mahaning Heights",6291,.,Cluster 30,1-Jan-00,31-Dec-00,31,11,1.7,98,0.5,1,0.1,73,.,.,.,.,.,.,.,.,X,X,X,1
2000,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",12717,.,Cluster 31,1-Jan-00,31-Dec-00,29,14,0.7,98,0.7,0.6,0.2,68,.,.,.,.,.,.,.,.,X,X,X,1
2000,"River Terrace, Benning, Greenway, Dupont Park",12275,.,Cluster 32,1-Jan-00,31-Dec-00,27,15,1.6,97,0.5,1.1,0.2,74,.,.,.,.,.,.,.,.,X,X,X,1
2000,"Capitol View, Marshall Heights, Benning Heights",17241,.,Cluster 33,1-Jan-00,31-Dec-00,32,14,0.9,99,0.3,0.4,0.5,68,.,.,.,.,.,.,.,.,X,X,X,1
2000,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",16810,.,Cluster 34,1-Jan-00,31-Dec-00,22,14,1.8,96,2.3,0.9,0.3,60,.,.,.,.,.,.,.,.,X,X,X,1
2000,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",6293,.,Cluster 35,1-Jan-00,31-Dec-00,22,14,2.6,93,4.6,1.8,0.3,63,.,.,.,.,.,.,.,.,X,X,X,1
2000,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",6374,.,Cluster 36,1-Jan-00,31-Dec-00,37,6.8,0.8,99,0.6,0.2,0.3,76,.,.,.,.,.,.,.,.,X,X,X,1
2000,"Sheridan, Barry Farm, Buena Vista",8448,.,Cluster 37,1-Jan-00,31-Dec-00,43,5.3,1.3,99,0.7,0.2,0.3,74,.,.,.,.,.,.,.,.,X,X,X,1
2000,"Douglas, Shipley Terrace",11503,.,Cluster 38,1-Jan-00,31-Dec-00,41,6.3,0.7,98,0.3,0.6,0.4,76,.,.,.,.,.,.,.,.,X,X,X,1
2000,"Congress Heights, Bellevue, Washington Highlands",27035,.,Cluster 39,1-Jan-00,31-Dec-00,34,7,2.2,97,1,0.9,0.5,72,.,.,.,.,.,.,.,.,X,X,X,1
2000,Walter Reed,615,.,Cluster 40,1-Jan-00,31-Dec-00,0,0,8.8,38,46,11,5.2,i,.,.,.,.,.,.,.,.,X,X,X,1
2000,Rock Creek Park,275,.,Cluster 41,1-Jan-00,31-Dec-00,17,20,21,64,24,8.2,2.6,26,.,.,.,.,.,.,.,.,X,X,X,1
2000,Saint Elizabeths,1042,.,Cluster 43,1-Jan-00,31-Dec-00,18,4.7,0.2,91,8.9,0.1,0,84,.,.,.,.,.,.,.,.,X,X,X,1
2000,Joint Base Anacostia-Bolling,6388,.,Cluster 44,1-Jan-00,31-Dec-00,35,1.6,6.3,42,46,7.6,3.9,17,.,.,.,.,.,.,.,.,X,X,X,1
2000,"Arboretum, Anacostia River",0,.,Cluster 46,1-Jan-00,31-Dec-00,i,i,i,i,i,i,i,i,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Kalorama Heights, Adams Morgan, Lanier Heights",17719,.,Cluster 1,1-Jan-90,31-Dec-90,11,7.7,23,26,56,15,2.5,38,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",45355,.,Cluster 2,1-Jan-90,31-Dec-90,22,12,26,66,12,21,1.6,54,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Howard University, Le Droit Park, Cardozo/Shaw",9951,.,Cluster 3,1-Jan-90,31-Dec-90,17,12,9.8,82,9.5,7.6,0.8,63,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Georgetown, Burleith/Hillandale",14588,.,Cluster 4,1-Jan-90,31-Dec-90,5.8,9.2,16,4.4,85,5.7,4.6,22,.,.,.,.,.,.,.,.,X,X,X,1
1990,"West End, Foggy Bottom, GWU",11390,.,Cluster 5,1-Jan-90,31-Dec-90,1.4,13,17,5.1,82,4.7,7.2,5.5,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Dupont Circle, Connecticut Avenue/K Street",18795,.,Cluster 6,1-Jan-90,31-Dec-90,6.6,7,23,19,61,14,5.4,33,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Shaw, Logan Circle",15611,.,Cluster 7,1-Jan-90,31-Dec-90,17,10,14,67,21,8.9,2.7,62,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",11009,.,Cluster 8,1-Jan-90,31-Dec-90,17,17,13,74,13,5.4,7,58,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",11597,.,Cluster 9,1-Jan-90,31-Dec-90,15,11,8.8,60,34,2.9,2.1,61,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Hawthorne, Barnaby Woods, Chevy Chase",13823,.,Cluster 10,1-Jan-90,31-Dec-90,19,20,12,8.4,85,3.4,3.3,12,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Friendship Heights, American University Park, Tenleytown",10364,.,Cluster 11,1-Jan-90,31-Dec-90,15,17,18,4.3,85,5.9,4.2,6.6,.,.,.,.,.,.,.,.,X,X,X,1
1990,"North Cleveland Park, Forest Hills, Van Ness",10015,.,Cluster 12,1-Jan-90,31-Dec-90,10,19,19,6.3,83,6.7,4.1,9.6,.,.,.,.,.,.,.,.,X,X,X,1
